Year,Genre,Percentage,Count
1984.0,Shounen,3.289473684210526,5
1984.0,Slice of Life,1.9736842105263157,3
1984.0,School,1.9736842105263157,3
1985.0,Comedy,7.339449541284404,8
1985.0,Action,5.5045871559633035,6
1985.0,Adventure,9.174311926605505,10
1985.0,Fantasy,1.834862385321101,2
1985.0,Sci-Fi,12.844036697247708,14
1985.0,Drama,4.587155963302752,5
1985.0,Romance,7.339449541284404,8
1985.0,Shounen,4.587155963302752,5
1985.0,Slice of Life,3.669724770642202,4
1985.0,School,3.669724770642202,4
1986.0,Comedy,9.230769230769232,12
1986.0,Action,8.461538461538462,11
1986.0,Adventure,8.461538461538462,11
1986.0,Fantasy,7.6923076923076925,10
1986.0,Sci-Fi,7.6923076923076925,10
1986.0,Drama,8.461538461538462,11
1986.0,Romance,4.615384615384616,6
1986.0,Shounen,5.384615384615385,7
1986.0,Slice of Life,3.8461538461538463,5
1986.0,School,0.0,0
1987.0,Comedy,11.811023622047244,15
1987.0,Action,7.874015748031496,10
1987.0,Adventure,8.661417322834646,11
1987.0,Fantasy,5.511811023622047,7
1987.0,Sci-Fi,7.874015748031496,10
1987.0,Drama,7.086614173228346,9
1987.0,Romance,3.149606299212598,4
1987.0,Shounen,4.724409448818897,6
1987.0,Slice of Life,3.937007874015748,5
1987.0,School,2.3622047244094486,3
1988.0,Comedy,10.7981220657277,23
1988.0,Action,7.981220657276995,17
1988.0,Adventure,7.511737089201878,16
1988.0,Fantasy,3.755868544600939,8
1988.0,Sci-Fi,7.981220657276995,17
1988.0,Drama,5.633802816901409,12
1988.0,Romance,0.9389671361502347,2
1988.0,Shounen,5.164319248826291,11
1988.0,Slice of Life,2.3474178403755865,5
1988.0,School,2.3474178403755865,5
1989.0,Comedy,12.323943661971832,35
1989.0,Action,9.507042253521126,27
1989.0,Adventure,9.507042253521126,27
1989.0,Fantasy,8.098591549295776,23
1989.0,Sci-Fi,8.098591549295776,23
1989.0,Drama,5.633802816901409,16
1989.0,Romance,1.7605633802816902,5
1989.0,Shounen,5.985915492957746,17
1989.0,Slice of Life,1.4084507042253522,4
1989.0,School,1.056338028169014,3
1990.0,Comedy,13.524590163934427,33
1990.0,Action,7.786885245901639,19
1990.0,Adventure,10.655737704918032,26
1990.0,Fantasy,6.147540983606557,15
1990.0,Sci-Fi,6.147540983606557,15
1990.0,Drama,2.0491803278688523,5
1990.0,Romance,3.278688524590164,8
1990.0,Shounen,4.918032786885246,12
1990.0,Slice of Life,3.6885245901639343,9
1990.0,School,2.0491803278688523,5
1991.0,Comedy,12.38390092879257,40
1991.0,Action,10.8359133126935,35
1991.0,Adventure,7.120743034055728,23
1991.0,Fantasy,5.572755417956656,18
1991.0,Sci-Fi,5.263157894736842,17
1991.0,Drama,5.572755417956656,18
1991.0,Romance,2.476780185758514,8
1991.0,Shounen,5.263157894736842,17
1991.0,Slice of Life,3.0959752321981426,10
1991.0,School,3.7151702786377707,12
1992.0,Comedy,12.186379928315413,34
1992.0,Action,6.810035842293908,19
1992.0,Adventure,9.31899641577061,26
1992.0,Fantasy,7.168458781362006,20
1992.0,Sci-Fi,8.24372759856631,23
1992.0,Drama,5.376344086021505,15
1992.0,Romance,3.942652329749104,11
1992.0,Shounen,5.734767025089606,16
1992.0,Slice of Life,3.584229390681003,10
1992.0,School,1.7921146953405016,5
1993.0,Comedy,12.616822429906541,27
1993.0,Action,8.878504672897195,19
1993.0,Adventure,7.009345794392523,15
1993.0,Fantasy,7.009345794392523,15
1993.0,Sci-Fi,8.878504672897195,19
1993.0,Drama,6.074766355140187,13
1993.0,Romance,3.7383177570093453,8
1993.0,Shounen,6.5420560747663545,14
1993.0,Slice of Life,0.46728971962616817,1
1993.0,School,2.336448598130841,5
1994.0,Comedy,10.795454545454545,38
1994.0,Action,9.090909090909092,32
1994.0,Adventure,8.806818181818182,31
1994.0,Fantasy,4.261363636363636,15
1994.0,Sci-Fi,7.386363636363637,26
1994.0,Drama,5.3977272727272725,19
1994.0,Romance,6.534090909090909,23
1994.0,Shounen,5.113636363636364,18
1994.0,Slice of Life,1.9886363636363635,7
1994.0,School,1.9886363636363635,7
1995.0,Comedy,13.803680981595093,45
1995.0,Action,7.975460122699387,26
1995.0,Adventure,10.122699386503067,33
1995.0,Fantasy,7.668711656441718,25
1995.0,Sci-Fi,5.214723926380368,17
1995.0,Drama,5.214723926380368,17
1995.0,Romance,4.9079754601226995,16
1995.0,Shounen,4.294478527607362,14
1995.0,Slice of Life,3.067484662576687,10
1995.0,School,1.5337423312883436,5
1996.0,Comedy,11.396011396011396,40
1996.0,Action,7.4074074074074066,26
1996.0,Adventure,10.541310541310542,37
1996.0,Fantasy,7.122507122507122,25
1996.0,Sci-Fi,6.837606837606838,24
1996.0,Drama,4.273504273504273,15
1996.0,Romance,5.413105413105413,19
1996.0,Shounen,7.122507122507122,25
