duration_category,average_score,count,std,error
< 15 min,6.0212147505423,1844,0.9271954570662717,0.04232012171338843
15-24 min,7.030690006798097,2942,0.7891156670409394,0.028515133099757888
25-34 min,6.57605221097496,1877,0.7611480803744002,0.0344344453064668
35-60 min,6.221306306306307,222,0.853097420532571,0.11222205389766839
