name,score,total_runtime,type,episodes,duration_minutes
Sengoku Majin Goushougun,6.79,624.0,TV,26.0,24.0
Uchuu no Senshi,6.26,150.0,OVA,6.0,25.0
Masuda Kousuke Gekijou Gag Manga Biyori 2,7.39,60.0,TV,12.0,5.0
Haja Kyosei G Dangaiou,5.39,299.0,TV,13.0,23.0
Rakushou! Hyper Doll,5.77,56.0,OVA,2.0,28.0
Izumo: Takeki Tsurugi no Senki,6.31,300.0,TV,12.0,25.0
Kekkou Kamen,5.82,88.0,OVA,4.0,22.0
Kotetsu no Daibouken,5.88,60.0,OVA,2.0,30.0
Megami Paradise,5.55,60.0,OVA,2.0,30.0
G-Taste,6.01,175.0,OVA,7.0,25.0
Gibomai,6.71,60.0,OVA,2.0,30.0
Onna Kyoushi Yumi no Houkago,5.94,60.0,OVA,2.0,30.0
D+vine Luv,6.4,120.0,OVA,4.0,30.0
Angelique,6.43,90.0,OVA,3.0,30.0
Angelique: Seichi yori Ai wo Komete,6.37,90.0,OVA,3.0,30.0
Angelique: Shiroi Tsubasa no Memoire,6.03,60.0,OVA,2.0,30.0
Angelique: Twin Collection,6.15,240.0,OVA,8.0,30.0
With You: Mitsumeteitai,5.51,60.0,OVA,2.0,30.0
Itazura The Animation,6.7,60.0,OVA,2.0,30.0
Tonari no Oneesan,5.92,60.0,OVA,2.0,30.0
Dokusen,5.62,60.0,OVA,2.0,30.0
Lady Georgie,7.26,1080.0,TV,45.0,24.0
Robin Hood no Daibouken,7.22,1300.0,TV,52.0,25.0
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,7.3,1200.0,TV,50.0,24.0
Huckleberry no Bouken,6.21,650.0,TV,26.0,25.0
Alps Monogatari: Watashi no Annette,6.73,1200.0,TV,48.0,25.0
Princess Sara,7.76,1150.0,TV,46.0,25.0
Ai no Wakakusa Monogatari,7.5,1152.0,TV,48.0,24.0
Perrine Monogatari,7.6,1325.0,TV,53.0,25.0
Nessa no Wakusei,5.24,90.0,OVA,2.0,45.0
Tetsuko no Tabi,6.5,312.0,TV,13.0,24.0
Flanders no Inu,7.45,1352.0,TV,52.0,26.0
Ai Shoujo Pollyanna Story,6.94,1326.0,TV,51.0,26.0
Shoukoushi Cedie,7.48,1032.0,TV,43.0,24.0
Jungle Taitei (1989),6.77,1560.0,TV,52.0,30.0
Trapp Ikka Monogatari,7.71,920.0,TV,40.0,23.0
Wakakusa Monogatari: Nan to Jo-sensei,7.69,1000.0,TV,40.0,25.0
Romeo no Aoi Sora,8.42,759.0,TV,33.0,23.0
Captain Future,7.13,1196.0,TV,52.0,23.0
Shion no Ou,7.62,506.0,TV,22.0,23.0
Code-E,6.48,288.0,TV,12.0,24.0
Uchuujin Tanaka Tarou,6.26,480.0,TV,24.0,20.0
Pinocchio yori Piccolino no Bouken,6.24,1248.0,TV,52.0,24.0
Kojika Monogatari,6.47,1560.0,TV,52.0,30.0
Jungle Book Shounen Mowgli,6.98,1560.0,TV,52.0,30.0
Ochame na Futago: Claire Gakuin Monogatari,7.11,650.0,TV,26.0,25.0
Mitsubachi Maya no Bouken,6.43,1300.0,TV,52.0,25.0
Fushigi no Kuni no Alice,6.5,1352.0,TV,52.0,26.0
Minami no Niji no Lucy,7.03,1250.0,TV,50.0,25.0
Kashi no Ki Mokku,5.88,1248.0,TV,52.0,24.0
Don Chuck Monogatari,6.07,650.0,TV,26.0,25.0
Araiguma Rascal,6.73,1352.0,TV,52.0,26.0
Tom Sawyer no Bouken,7.17,1225.0,TV,49.0,25.0
TaoTao Ehonkan Sekai Doubutsu Banashi,6.95,1560.0,TV,52.0,30.0
Anime 80-nichikan Sekai Isshuu,6.87,650.0,TV,26.0,25.0
Mobile Suit Gundam 00,8.2,600.0,TV,25.0,24.0
Soukou Kihei Votoms,7.81,1300.0,TV,52.0,25.0
Soukou Kihei Votoms: Kakuyaku taru Itan,7.07,150.0,OVA,5.0,30.0
Genmukan,6.45,60.0,OVA,2.0,30.0
D.C.II: Da Capo II,7.0,325.0,TV,13.0,25.0
Shinreigari: Ghost Hound,7.53,550.0,TV,22.0,25.0
Juusenki L-Gaim,6.8,1296.0,TV,54.0,24.0
Kenkou Zenrakei Suieibu Umishou,7.21,325.0,TV,13.0,25.0
Mushi-Uta,6.73,288.0,TV,12.0,24.0
Sky Girls,7.08,624.0,TV,26.0,24.0
Sayonara Zetsubou Sensei,7.97,288.0,TV,12.0,24.0
Wangan Midnight,7.49,650.0,TV,26.0,25.0
Kakyuusei (TV),6.3,325.0,TV,13.0,25.0
Kakyuusei,5.69,120.0,OVA,4.0,30.0
Panda Kopanda,6.85,72.0,Movie,2.0,36.0
Spoon Oba-san,6.77,1300.0,TV,130.0,10.0
Mirai Shounen Conan 2: Taiga Daibouken,6.88,552.0,TV,24.0,23.0
Ghiblies,6.53,36.0,Special,2.0,18.0
Takarajima,8.02,624.0,TV,26.0,24.0
Spider Riders: Oracle no Yuusha-tachi,6.69,598.0,TV,26.0,23.0
Spider Riders: Yomigaeru Taiyou,6.77,598.0,TV,26.0,23.0
"Flanders no Inu, Boku no Patrasche",7.22,650.0,TV,26.0,25.0
Teki wa Kaizoku: Neko-tachi no Kyouen,6.25,150.0,OVA,6.0,25.0
One Piece: Straw Hat Theater,7.5,15.0,Special,5.0,3.0
Spaceship Agga Ruter,6.66,120.0,OVA,4.0,30.0
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,7.35,288.0,TV,12.0,24.0
Buzzer Beater 2nd Season,6.92,325.0,TV,13.0,25.0
Tsubasa: Tokyo Revelations,8.39,90.0,OVA,3.0,30.0
Akai Koudan Zillion,6.7,744.0,TV,31.0,24.0
CB Chara Go Nagai World,7.0,135.0,OVA,3.0,45.0
Detatoko Princess,6.09,90.0,OVA,3.0,30.0
Hidamari no Ki,6.6,575.0,TV,25.0,23.0
Crusher Joe OVA,6.64,114.0,OVA,2.0,57.0
Hi-Speed Jecy,6.23,336.0,OVA,12.0,28.0
Uchuu Kaizoku Mito no Daibouken,6.55,312.0,TV,13.0,24.0
Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,6.33,312.0,TV,13.0,24.0
Susie-chan to Marvy,6.41,1560.0,TV,104.0,15.0
Bakukyuu Renpatsu!! Super B-Daman,6.43,720.0,TV,18.0,40.0
Chousoku Spinner,6.77,506.0,TV,22.0,23.0
Kaiketsu Jouki Tanteidan,6.73,624.0,TV,26.0,24.0
Bakusou Kyoudai Let's & Go,6.87,1275.0,TV,51.0,25.0
Bakusou Kyoudai Let's & Go WGP,7.06,1275.0,TV,51.0,25.0
Majime ni Fumajime Kaiketsu Zorori,6.97,2328.0,TV,97.0,24.0
Wankorobee,5.48,390.0,TV,26.0,15.0
Bakusou Kyoudai Let's & Go MAX,6.68,1275.0,TV,51.0,25.0
Rockman.EXE Beast+,7.01,260.0,TV,26.0,10.0
Sotsugyou: Graduation,6.22,60.0,OVA,2.0,30.0
Urayasu Tekkin Kazoku,7.08,231.0,TV,33.0,7.0
Ginga Tetsudou Monogatari: Eien e no Bunkiten,6.98,576.0,TV,24.0,24.0
Umi no Triton,6.49,621.0,TV,27.0,23.0
MapleStory,5.44,625.0,TV,25.0,25.0
Reinou Tantei Miko,5.82,60.0,OVA,2.0,30.0
Daicon Opening Animations,7.74,10.0,Special,2.0,5.0
Sukeban Deka,6.48,94.0,OVA,2.0,47.0
Sweet Valerian,5.8,54.0,TV,18.0,3.0
1+2=Paradise,5.09,56.0,OVA,2.0,28.0
Shishunki Bishoujo Gattai Robo Z-Mind,5.75,180.0,OVA,6.0,30.0
Baby Baachan,6.66,1855.0,TV,53.0,35.0
MiniPato,6.53,30.0,Movie,3.0,10.0
Mugen Senki Portriss,5.61,1300.0,TV,52.0,25.0
Mojakou,7.26,1850.0,TV,74.0,25.0
Kouryuu no Mimi: Mina no Shou,5.12,56.0,OVA,2.0,28.0
Kasumin 3rd Season,6.26,650.0,TV,26.0,25.0
Highschool Aurabuster: Hikari no Mezame,6.27,81.0,OVA,3.0,27.0
Monkey Turn,6.36,575.0,TV,25.0,23.0
Monkey Turn V,6.56,600.0,TV,25.0,24.0
Omoikkiri Kagaku Adventure Sou Nanda!,5.84,520.0,TV,26.0,20.0
Potemayo,7.35,288.0,TV,12.0,24.0
Jigoku Sensei Nube OVA,7.3,90.0,OVA,3.0,30.0
Dash! Kappei,7.28,1625.0,TV,65.0,25.0
Heisei Inu Monogatari Bow,6.84,1000.0,TV,40.0,25.0
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,8.04,138.0,OVA,6.0,23.0
Cleopatra D.C.,5.98,111.0,OVA,3.0,37.0
Juuni Senshi Bakuretsu Eto Ranger,6.97,975.0,TV,39.0,25.0
Shippuu! Iron Leaguer,7.16,1248.0,TV,52.0,24.0
Igano Kabamaru,8.03,552.0,TV,24.0,23.0
Super Doll Licca-chan,6.63,1300.0,TV,52.0,25.0
Galactic Patrol Lensman,6.47,625.0,TV,25.0,25.0
Chou Kuse ni Narisou,6.41,975.0,TV,39.0,25.0
Juushin Enbu: Hero Tales,6.93,624.0,TV,26.0,24.0
Genocyber,5.97,145.0,OVA,5.0,29.0
Generation of Chaos III: Toki no Fuuin,4.24,48.0,OVA,2.0,24.0
Sotsugyou M: Ore-tachi no Carnival,5.56,54.0,OVA,2.0,27.0
Saint Luminous Jogakuin,6.13,312.0,TV,13.0,24.0
Fire Emblem,5.79,54.0,OVA,2.0,27.0
Oyayubi Hime Monogatari,6.73,624.0,TV,26.0,24.0
OZ,5.48,70.0,OVA,2.0,35.0
Bakegyamon,6.76,1275.0,TV,51.0,25.0
Shakugan no Shana II (Second),7.7,576.0,TV,24.0,24.0
Stratosphera no Yousei,5.78,99.0,OVA,3.0,33.0
B-Legend! Battle B-Daman,6.35,1144.0,TV,52.0,22.0
Kussetsu,6.07,90.0,OVA,3.0,30.0
Dragonaut: The Resonance,6.75,625.0,TV,25.0,25.0
Koukou Tekken-den Tough,7.11,135.0,OVA,3.0,45.0
Hatsu Inu The Animation,7.39,60.0,OVA,2.0,30.0
Hello! Sandybell,7.12,1175.0,TV,47.0,25.0
Densetsu no Yuusha Da Garn,7.25,1104.0,TV,46.0,24.0
Hana no Mahoutsukai Mary Bell,6.66,1200.0,TV,50.0,24.0
Yadamon,6.37,1700.0,TV,170.0,10.0
Fuusen Shoujo Temple-chan,6.45,650.0,TV,26.0,25.0
Anime Himitsu no Hanazono,7.1,975.0,TV,39.0,25.0
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.38,1196.0,TV,52.0,23.0
Dondon Domeru to Ron,6.78,1300.0,TV,52.0,25.0
Geragera Boes Monogatari,7.12,1248.0,TV,52.0,24.0
Toushou Daimos,7.25,1056.0,TV,44.0,24.0
Cinderella Monogatari,7.44,624.0,TV,26.0,24.0
Madou King Granzort,7.29,984.0,TV,41.0,24.0
Dragon Quest: Abel Yuusha Densetsu,7.05,1032.0,TV,43.0,24.0
Time Travel Tondekeman!,7.42,897.0,TV,39.0,23.0
Bad End,5.41,56.0,OVA,2.0,28.0
Bamboo Bears,6.32,1300.0,TV,52.0,25.0
Barbapapa,6.2,225.0,TV,45.0,5.0
Barbapapa Sekai wo Mawaru,6.03,250.0,TV,50.0,5.0
Arabian Nights: Sindbad no Bouken (TV),7.26,1300.0,TV,52.0,25.0
Oz no Mahoutsukai (1986),6.82,1300.0,TV,52.0,25.0
Calimero,6.26,1125.0,TV,45.0,25.0
Ie Naki Ko,7.83,1224.0,TV,51.0,24.0
Ie Naki Ko Remy,8.02,529.0,TV,23.0,23.0
Ani*Kuri15,6.9,15.0,Special,15.0,1.0
Miracle☆Girls,7.25,1224.0,TV,51.0,24.0
Patalliro!,7.56,1176.0,TV,49.0,24.0
Chiisana Viking Vickie,6.61,1872.0,TV,78.0,24.0
Ariel Deluxe,5.64,84.0,OVA,2.0,42.0
Toushin Toshi II,5.83,90.0,OVA,3.0,30.0
Ariel Visual,5.45,56.0,OVA,2.0,28.0
Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,6.8,60.0,OVA,2.0,30.0
Accelerando: Datenshi-tachi no Sasayaki,6.96,112.0,OVA,4.0,28.0
Ikusa Otome Valkyrie,6.29,60.0,OVA,2.0,30.0
Ikusa Otome Valkyrie Shinshou,6.23,60.0,OVA,2.0,30.0
Seifuku Shojo The Animation,6.41,60.0,OVA,2.0,30.0
Tokineiro,5.17,60.0,OVA,2.0,30.0
21-ji no Onna: Newscaster Katsuragi Miki,5.89,90.0,OVA,3.0,30.0
2x1,5.3,48.0,OVA,2.0,24.0
Ane☆Haramix,6.91,104.0,OVA,4.0,26.0
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,7.11,60.0,OVA,2.0,30.0
Bakunyuu Oyako,6.32,58.0,OVA,2.0,29.0
Asgaldh: The Distortion Testament,5.83,90.0,OVA,3.0,30.0
Bible Black Only Version,6.94,60.0,OVA,2.0,30.0
Chikan Monogatari,6.36,60.0,OVA,2.0,30.0
Chinmoku no Kantai,6.43,90.0,OVA,3.0,30.0
Anime Oyako Gekijou,5.94,624.0,TV,26.0,24.0
Ganbare Goemon,6.2,552.0,TV,23.0,24.0
Kinbaku no Yakata: Ryakudatsu,5.48,60.0,OVA,2.0,30.0
Houkago: Nureta Seifuku,6.54,87.0,OVA,3.0,29.0
Sakigake!! Otokojuku,7.42,816.0,TV,34.0,24.0
Code Geass: Hangyaku no Lelouch R2,8.94,600.0,TV,25.0,24.0
Ikkitousen: Dragon Destiny Specials,6.75,18.0,Special,6.0,3.0
Cyborg Kuro-chan,7.16,1650.0,TV,66.0,25.0
Koi Koi 7 Specials,5.93,21.0,Special,7.0,3.0
Kyoushirou to Towa no Sora Specials,6.66,30.0,Special,6.0,5.0
Ohayou! Spank,6.69,1575.0,TV,63.0,25.0
Daisougen no Chiisana Tenshi: Bush Baby,7.12,960.0,TV,40.0,24.0
Genki Bakuhatsu Ganbaruger,6.98,1128.0,TV,47.0,24.0
Seijun Kango Gakuin,6.38,90.0,OVA,3.0,30.0
Ashita no Joe 2,8.63,1128.0,TV,47.0,24.0
Shugo Chara!,7.55,1224.0,TV,51.0,24.0
ef: A Tale of Memories.,8.03,288.0,TV,12.0,24.0
Myself; Yourself,7.32,325.0,TV,13.0,25.0
Kimikiss Pure Rouge,7.41,576.0,TV,24.0,24.0
Moonlight Mile 2nd Season: Touch Down,7.43,350.0,TV,14.0,25.0
Tensai? Dr. Hamax,5.31,276.0,TV,12.0,23.0
Mokke,7.13,576.0,TV,24.0,24.0
Mirai Keisatsu Urashiman,6.82,1150.0,TV,50.0,23.0
Shiawase Sou no Okojo-san,6.69,1275.0,TV,51.0,25.0
Ryokan Shirasagi,6.19,60.0,OVA,2.0,30.0
Private Emotion,5.45,60.0,OVA,2.0,30.0
Idol Densetsu Eriko,6.86,1020.0,TV,51.0,20.0
Sketchbook: Full Color's,7.43,299.0,TV,13.0,23.0
Inbaku Gakuen,6.39,90.0,OVA,3.0,30.0
Seisai,5.47,60.0,OVA,2.0,30.0
Hitozuma Ryoujoku Sankanbi,6.38,60.0,OVA,2.0,30.0
Angel Core: Tenshi-tachi no Sumika,5.66,60.0,OVA,2.0,30.0
Maria-sama ga Miteru 3rd Specials,7.45,10.0,Special,5.0,2.0
Hana no Joshi Announcer: Newscaster Etsuko,6.52,52.0,OVA,2.0,26.0
Shin-ban Megami Tantei Vinus File,5.78,60.0,OVA,2.0,30.0
Okusama wa Mahoutsukai,5.9,60.0,OVA,2.0,30.0
Hitozuma Cosplay Kissa,6.13,52.0,OVA,2.0,26.0
Utsukushiki Sei no Dendoushi Reirei,5.64,60.0,OVA,2.0,30.0
Kininaru Roommate,6.63,60.0,OVA,2.0,30.0
Minami-ke,7.76,312.0,TV,13.0,24.0
Blue Drop: Tenshi-tachi no Gikyoku,6.8,338.0,TV,13.0,26.0
Suteki Tantei Labyrinth,6.85,575.0,TV,25.0,23.0
Ookami to Koushinryou,8.33,312.0,TV,13.0,24.0
Saishuu Shiken Kujira,5.12,60.0,ONA,12.0,5.0
Night Wizard,6.76,325.0,TV,13.0,25.0
Kyou kara Maou! R,7.56,125.0,OVA,5.0,25.0
Youjuu Sensen Adventure Kid,5.38,105.0,OVA,3.0,35.0
Shin Getter Robo,7.43,312.0,OVA,13.0,24.0
Akiko,5.4,60.0,OVA,2.0,30.0
Kuusou Kagaku Sekai Gulliver Boy,6.6,1200.0,TV,50.0,24.0
Yuuwaku,6.65,60.0,OVA,2.0,30.0
Majin Tantei Nougami Neuro,7.7,575.0,TV,25.0,23.0
Bamboo Blade,7.39,624.0,TV,26.0,24.0
Ginga Hyouryuu Vifam,7.28,1150.0,TV,46.0,25.0
Mahou Shoujo Ai,6.65,150.0,OVA,5.0,30.0
Rosario to Vampire,7.03,325.0,TV,13.0,25.0
Death Note: Rewrite,7.8,224.0,Special,2.0,112.0
Taiho Shichau zo: Full Throttle,7.28,552.0,TV,23.0,24.0
Moyashimon,7.64,253.0,TV,11.0,23.0
Gyakkyou Burai Kaiji: Ultimate Survivor,8.31,598.0,TV,26.0,23.0
Saint Beast: Ikusen no Hiru to Yoru-hen,6.32,50.0,OVA,2.0,25.0
Time Bokan Series: Yatterman,6.75,2700.0,TV,108.0,25.0
Kaiketsu Zorro,7.3,1248.0,TV,52.0,24.0
Yotsunoha,6.42,74.0,OVA,2.0,37.0
Gekitou! Crush Gear Turbo,6.88,1700.0,TV,68.0,25.0
Gu-Gu Ganmo,6.18,1250.0,TV,50.0,25.0
Yume Senshi Wingman,6.73,1081.0,TV,47.0,23.0
Haai Step Jun,6.38,1080.0,TV,45.0,24.0
Esper Mami,6.65,2856.0,TV,119.0,24.0
Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,5.63,44.0,OVA,2.0,22.0
Compiler,5.32,60.0,OVA,2.0,30.0
Kurai Mirai,5.91,60.0,OVA,2.0,30.0
Chouon Senshi Borgman,6.48,840.0,TV,35.0,24.0
Tobe! Isami,7.3,1250.0,TV,50.0,25.0
Campus,6.0,56.0,OVA,2.0,28.0
Tetsuwan Atom (1980),7.22,1248.0,TV,52.0,24.0
Shiroki Tenshi-tachi no Rondo,5.94,60.0,OVA,2.0,30.0
In no Houteishiki,6.37,60.0,OVA,2.0,30.0
Panchira Teacher,6.5,60.0,OVA,2.0,30.0
Ganbare! Kickers,6.89,529.0,TV,23.0,23.0
La Seine no Hoshi,6.62,897.0,TV,39.0,23.0
Natural,6.06,60.0,OVA,2.0,30.0
Loveless Specials,6.71,12.0,Special,6.0,2.0
Darling,6.55,78.0,OVA,3.0,26.0
Ninja Senshi Tobikage,7.12,1032.0,TV,43.0,24.0
Dallos,6.01,120.0,OVA,4.0,30.0
Kishin Heidan,6.37,231.0,OVA,7.0,33.0
Futago no Haha Seihonnou,6.33,60.0,OVA,2.0,30.0
Gakuen Sodom,5.56,60.0,OVA,2.0,30.0
Kizuoibito,4.7,175.0,OVA,5.0,35.0
Ozanari Dungeon: Kaze no Tou,6.34,78.0,OVA,3.0,26.0
Robby to Kerobby,6.28,520.0,TV,52.0,10.0
Minerva no Kenshi,6.22,225.0,OVA,5.0,45.0
Tondera House no Daibouken,6.4,1248.0,TV,52.0,24.0
Warau Salesman,6.65,1030.0,TV,103.0,10.0
Magical Twilight,6.04,90.0,OVA,3.0,30.0
Aoki Ryuusei SPT Layzner,7.18,912.0,TV,38.0,24.0
Attacker You!,6.64,1334.0,TV,58.0,23.0
Koharu Biyori,6.71,90.0,OVA,3.0,30.0
Strait Jacket,6.9,78.0,OVA,3.0,26.0
xxxHOLiC Kei,8.29,312.0,TV,13.0,24.0
Junjou Romantica,7.95,288.0,TV,12.0,24.0
Sono Kinisasete yo: My My Mai,5.93,78.0,OVA,2.0,39.0
Shutsugeki! Machine Robo Rescue,6.89,1219.0,TV,53.0,23.0
Juusenshi Gulkeeva,6.37,598.0,TV,26.0,23.0
F-Zero: Falcon Densetsu,6.47,1173.0,TV,51.0,23.0
Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,7.26,60.0,OVA,2.0,30.0
Geisters: Fractions of the Earth,5.81,624.0,TV,26.0,24.0
Dark Shell: Ori no Naka no Namameki,6.22,60.0,OVA,2.0,30.0
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,5.99,60.0,OVA,2.0,30.0
Mei King,6.11,120.0,OVA,4.0,30.0
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.11,1352.0,TV,52.0,26.0
Papillon Rose,4.86,150.0,TV,6.0,25.0
Chiisana Kyojin Microman,6.43,1300.0,TV,52.0,25.0
Dash! Yonkurou,6.98,600.0,TV,25.0,24.0
Kodomo no Jikan OVA,7.18,72.0,OVA,3.0,24.0
Tokimeki Tonight,7.38,816.0,TV,34.0,24.0
Kaibutsu-kun (1980),6.67,2350.0,TV,94.0,25.0
Ashita Tenki ni Naare,6.27,1034.0,TV,47.0,22.0
Boukensha: The Man Was from Spain,6.31,650.0,TV,26.0,25.0
Ochamegami Monogatari: Korokoro Pollon,7.09,1012.0,TV,46.0,22.0
Tsurikichi Sanpei,7.13,2616.0,TV,109.0,24.0
GR: Giant Robo,6.72,325.0,TV,13.0,25.0
Genei Toushi Bastof Lemon,6.19,624.0,TV,26.0,24.0
Guardian Hearts-Power UP!,5.99,68.0,OVA,4.0,17.0
Houkago Mania Club: Koi no Hoshii no,5.35,60.0,OVA,2.0,30.0
Makiba no Shoujo Katri,6.93,1225.0,TV,49.0,25.0
Ichigo Ichie: Koibana Tomobana,6.43,65.0,TV,13.0,5.0
Ayakashi,6.44,276.0,TV,12.0,23.0
Eve no Jikan,8.16,108.0,ONA,6.0,18.0
Ryoujoku Hitozuma Onsen,6.63,60.0,OVA,2.0,30.0
Sola Specials,7.01,48.0,Special,2.0,24.0
Nessa no Haou Gandalla,6.04,572.0,TV,26.0,22.0
Manga Aesop Monogatari (TV),6.44,780.0,TV,52.0,15.0
Fortune Quest L,6.56,598.0,TV,26.0,23.0
Asobot Senki Gokuu,6.8,1196.0,TV,52.0,23.0
Ningyohime Marina no Bouken,6.43,572.0,TV,26.0,22.0
Wakakusa no Charlotte,6.91,750.0,TV,30.0,25.0
Nanatsu no Umi no Tico,7.52,897.0,TV,39.0,23.0
Pure-tou no Nakama-tachi,6.46,780.0,TV,26.0,30.0
Daisuki! Hello Kitty,6.39,546.0,TV,26.0,21.0
Cream Lemon: Lemon Angel,5.71,111.0,TV,37.0,3.0
Ikoku Irokoi Romantan,7.18,54.0,OVA,2.0,27.0
Ganbare Genki,7.51,805.0,TV,35.0,23.0
Gensoumaden Saiyuuki OVA,7.22,60.0,OVA,2.0,30.0
Minami-ke Okawari,7.4,312.0,TV,13.0,24.0
Major S4,8.31,624.0,TV,26.0,24.0
Zoku Sayonara Zetsubou Sensei,7.98,325.0,TV,13.0,25.0
Kimi ga Aruji de Shitsuji ga Ore de,7.27,325.0,TV,13.0,25.0
Druaga no Tou: The Aegis of Uruk,7.27,300.0,TV,12.0,25.0
Gunslinger Girl: Il Teatrino,7.24,325.0,TV,13.0,25.0
Magma Taishi,5.83,312.0,OVA,13.0,24.0
Cream Lemon,6.45,988.0,OVA,38.0,26.0
Kindaichi Shounen no Jikenbo Specials,7.37,96.0,Special,2.0,48.0
Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,6.93,120.0,Special,5.0,24.0
Daishikkin Helena,5.96,52.0,OVA,2.0,26.0
Hatara Kids Mai Ham Gumi,5.77,1250.0,TV,50.0,25.0
Luv Wave,6.06,90.0,OVA,3.0,30.0
Soukou Kihei Votoms: Pailsen Files,7.37,300.0,OVA,12.0,25.0
Lemon Angel (1988),5.8,27.0,TV,9.0,3.0
Lemon Angel (1988/II),5.78,24.0,TV,8.0,3.0
Princess Tutu Recaps,6.8,33.0,Special,3.0,11.0
Kingdom of Chaos: Born to Kill,5.68,116.0,OVA,4.0,29.0
Mai-Otome 0: S.ifr,7.45,84.0,OVA,3.0,28.0
IGPX: Immortal Grand Prix (2005),7.18,299.0,TV,13.0,23.0
Bakutou Sengen Daigunder,6.75,819.0,TV,39.0,21.0
Kinnikuman,7.31,3288.0,TV,137.0,24.0
Kinnikuman: Kinnikusei Oui Soudatsu-hen,6.92,1104.0,TV,46.0,24.0
Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,6.8,50.0,OVA,2.0,25.0
Gundam Evolve,6.78,105.0,OVA,15.0,7.0
Vampiyan Kids,6.2,529.0,TV,23.0,23.0
Potemayo Specials,7.4,54.0,Special,6.0,9.0
Gasshin Sentai Mechander Robo,6.1,805.0,TV,35.0,23.0
Yatterman,6.65,1500.0,TV,60.0,25.0
Aria The Origination,8.57,312.0,TV,13.0,24.0
Hatenkou Yuugi,7.24,240.0,TV,10.0,24.0
H2O: Footprints in the Sand,7.17,288.0,TV,12.0,24.0
Romance wa Tsurugi no Kagayaki II,6.25,180.0,OVA,6.0,30.0
Septem Charm Magical Kanan,6.07,120.0,OVA,4.0,30.0
Megachu!,6.63,105.0,OVA,3.0,35.0
Momiji,6.32,120.0,OVA,4.0,30.0
Muteki Koujin Daitarn 3,7.17,1000.0,TV,40.0,25.0
Moke Moke Taishou Dendo Musume Arisa,6.14,60.0,OVA,2.0,30.0
Heartwork: Symphony of Destruction,6.29,90.0,OVA,3.0,30.0
Dr. Slump,7.07,1850.0,TV,74.0,25.0
Montana Jones,7.06,1196.0,TV,52.0,23.0
Kikou Keisatsu Metal Jack,6.3,851.0,TV,37.0,23.0
Uchuusen Sagittarius,6.92,1848.0,TV,77.0,24.0
Kimi ga Nozomu Eien: Next Season,7.01,116.0,OVA,4.0,29.0
Wagaya no Oinari-sama.,7.27,576.0,TV,24.0,24.0
Discode: Ijou Seiai,6.36,60.0,OVA,3.0,20.0
Yuusha Exkaiser,6.62,1152.0,TV,48.0,24.0
Giant Gorg,7.33,650.0,TV,26.0,25.0
Izumo (2003),6.22,150.0,OVA,5.0,30.0
Stop!! Hibari-kun!,7.14,840.0,TV,35.0,24.0
Jokuana,5.83,60.0,OVA,2.0,30.0
Haikara-san ga Tooru,7.4,1008.0,TV,42.0,24.0
Mnemosyne: Mnemosyne no Musume-tachi,7.41,270.0,TV,6.0,45.0
Mikan Enikki,7.33,690.0,TV,30.0,23.0
Kiddy GiRL-AND,6.93,600.0,TV,24.0,25.0
Kininaru Kimochi,6.22,60.0,OVA,4.0,15.0
Fortune Dogs,6.6,975.0,TV,39.0,25.0
Kure-nai,7.45,300.0,TV,12.0,25.0
Amatsuki,6.98,299.0,TV,13.0,23.0
UFO Senshi Dai Apolon,6.31,624.0,TV,26.0,24.0
RD Sennou Chousashitsu,7.18,572.0,TV,26.0,22.0
Persona: Trinity Soul,6.67,598.0,TV,26.0,23.0
Shoubushi Densetsu Tetsuya,7.59,460.0,TV,20.0,23.0
Natural: Another,6.08,60.0,OVA,2.0,30.0
Ginga Eiyuu Densetsu Gaiden,8.18,624.0,OVA,24.0,26.0
RGB Adventure,5.19,120.0,TV,6.0,20.0
Kirepapa.,6.92,58.0,OVA,2.0,29.0
Tres Marias: Sannin no Sei Shojo,5.54,60.0,OVA,2.0,30.0
Leatherman,5.96,150.0,OVA,5.0,30.0
Mikagura Tanteidan,5.96,90.0,OVA,3.0,30.0
Hana Dorei,5.66,60.0,OVA,2.0,30.0
Korashime,5.97,60.0,OVA,2.0,30.0
Mi-da-ra,5.82,90.0,OVA,3.0,30.0
Dorei Ichiba,6.34,90.0,OVA,3.0,30.0
Majokko Megu-chan,6.72,1800.0,TV,72.0,25.0
Bus Gamer,6.61,69.0,TV,3.0,23.0
Hoshi no Umi no Amuri,5.86,90.0,OVA,3.0,30.0
Maicching Machiko-sensei,6.55,2375.0,TV,95.0,25.0
