name,score,total_runtime,type,episodes,duration_minutes
City Hunter '91,7.87,299.0,TV,13.0,23.0
D.Gray-man,8.14,2369.0,TV,103.0,23.0
Master Keaton,7.68,552.0,TV,24.0,23.0
Youma,6.17,76.0,OVA,2.0,38.0
Akachan to Boku,7.96,875.0,TV,35.0,25.0
Kodomo no Omocha (TV),8.15,2244.0,TV,102.0,22.0
Area 88,7.61,195.0,OVA,3.0,65.0
Renkin San-kyuu Magical? Pokaan Specials,7.0,42.0,Special,3.0,14.0
Ginga Tetsudou Monogatari,7.25,624.0,TV,26.0,24.0
Ginga Tetsudou 999,7.88,2825.0,TV,113.0,25.0
Project ARMS,7.09,624.0,TV,26.0,24.0
Project ARMS: The 2nd Chapter,7.17,624.0,TV,26.0,24.0
Maetel Legend,6.48,90.0,OVA,2.0,45.0
Black Blood Brothers,7.22,300.0,TV,12.0,25.0
MaMa,5.38,60.0,OVA,2.0,30.0
Teizokurei Daydream,6.29,96.0,OVA,4.0,24.0
Mahou Shoujo Pretty Sammy (1996),6.82,598.0,TV,26.0,23.0
Sci-fi Harry,6.27,500.0,TV,20.0,25.0
Mamotte! Lollipop,6.9,325.0,TV,13.0,25.0
Imouto de Ikou!,6.33,60.0,OVA,2.0,30.0
Gakuen: Chijoku no Zushiki,5.58,60.0,OVA,2.0,30.0
Court no Naka no Tenshi-tachi,5.92,54.0,OVA,2.0,27.0
Kaette Kita Court no Naka no Tenshi-tachi,5.92,60.0,OVA,2.0,30.0
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,7.06,144.0,OVA,6.0,24.0
Kirarin☆Revolution,7.27,3366.0,TV,153.0,22.0
Silent Möbius,6.88,624.0,TV,26.0,24.0
Black Lagoon: The Second Barrage,8.25,288.0,TV,12.0,24.0
Black Jack,7.83,600.0,OVA,12.0,50.0
Fuujin Monogatari,7.29,325.0,TV,13.0,25.0
Bishoujo Yuugekitai Battle Skipper,5.29,81.0,OVA,3.0,27.0
De:vadasy,4.8,69.0,OVA,3.0,23.0
Kanon (2006),8.09,576.0,TV,24.0,24.0
Suki na Mono wa Suki Dakara Shou ga Nai!!,6.87,288.0,TV,12.0,24.0
Ai Tenshi Densetsu Wedding Peach,6.77,1224.0,TV,51.0,24.0
Futari wa Precure: Splash☆Star,7.22,1176.0,TV,49.0,24.0
Death Note,8.66,851.0,TV,37.0,23.0
Busou Renkin,7.44,624.0,TV,26.0,24.0
Genshi Shounen Ryuu,6.41,550.0,TV,22.0,25.0
Pumpkin Scissors,7.22,552.0,TV,24.0,23.0
Souten no Ken,6.76,594.0,TV,22.0,27.0
Brain Powerd,6.19,650.0,TV,26.0,25.0
Yoake Mae yori Ruriiro na: Crescent Love,7.2,276.0,TV,12.0,23.0
Super Robot Taisen OG The Animation,6.73,84.0,OVA,3.0,28.0
Negima!?,7.13,598.0,TV,26.0,23.0
Shin Taketori Monogatari: 1000-nen Joou,7.35,1008.0,TV,42.0,24.0
Queen Emeraldas,6.97,144.0,OVA,4.0,36.0
Asatte no Houkou.,7.11,300.0,TV,12.0,25.0
Tokimeki Memorial: Only Love,7.14,600.0,TV,25.0,24.0
Kikoushi Enma,7.22,160.0,OVA,4.0,40.0
Shounen Onmyouji,7.66,598.0,TV,26.0,23.0
Shijou Saikyou no Deshi Kenichi,8.21,1250.0,TV,50.0,25.0
Choujin Gakuen Gowcaizer: The Voltage Fighters,5.05,90.0,OVA,3.0,30.0
Lovedol: Lovely Idol,6.24,288.0,TV,12.0,24.0
Yamato Nadeshiko Shichihenge♥,7.85,600.0,TV,25.0,24.0
Magic Knight Rayearth II,7.59,696.0,TV,29.0,24.0
