Entity,Year,CO2_per_capita,Population,Poverty_rate
Belgium,2014,8.6559305,11210070,0.07649596
Belgium,2015,8.982039,11275281,0.07075855
Belgium,2016,8.801254,11332652,0.059816156
Belgium,2017,8.718997,11376542,0.14786859
Belgium,2018,8.763881,11428564,0.0811136
Belgium,2019,8.675304,11490570,0.07855247
Belgium,2020,7.9053583,11540055,0.05472548
Belgium,2021,8.200483,11570794,0.02996537
Belize,1993,1.9366943,194864,13.547187
Belize,1994,1.8775773,199048,14.793828
Belize,1996,1.4637041,210272,18.196114
Belize,1997,1.7863553,217417,20.901537
Belize,1998,1.6436769,225144,20.73299
Belize,1999,1.4937581,233023,19.556927
Benin,2003,0.30253926,7913016,53.089462
Benin,2011,0.4438187,10093579,54.26165
Benin,2015,0.46938777,11360628,50.70926
Benin,2018,0.4577955,12383302,20.082186
Benin,2021,0.42936745,13413371,12.723279
Bhutan,2003,0.773911,637625,13.3622055
Bhutan,2007,0.5853021,678600,5.853421
Bhutan,2012,1.6544545,717237,1.7303301
Bhutan,2017,2.2691145,754292,0.94576234
Bhutan,2022,2.094222,780868,0.0015388478
Bolivia,1997,1.435035,8167859,15.538883
Bolivia,1999,1.2931223,8459762,21.875101
Bolivia,2000,0.97996825,8606277,24.247425
Bolivia,2001,0.9988706,8752692,19.031044
Bolivia,2002,1.1688838,8900306,19.68643
Bolivia,2004,1.1985703,9204246,10.216771
Bolivia,2005,1.3153518,9360702,15.606612
Bolivia,2006,1.2951919,9521625,12.494706
Bolivia,2007,1.3107055,9685913,9.466773
Bolivia,2008,1.3161584,9850806,8.344567
Bolivia,2009,1.3516202,10016233,8.781656
Bolivia,2011,1.5411018,10348877,5.298905
Bolivia,2012,1.6675287,10515765,6.4679384
Bolivia,2013,1.663367,10682555,5.173073
Bolivia,2014,1.8331811,10848842,4.2758923
Bolivia,2015,1.8054603,11014657,4.6299644
Bolivia,2016,1.8997626,11179968,5.620338
Bolivia,2017,1.9543539,11344540,4.9333615
Bolivia,2018,1.9549538,11508320,3.274886
Bolivia,2019,1.9368082,11671329,1.9205352
Bolivia,2020,1.5497013,11816245,3.1215072
Bolivia,2021,1.8225433,11937318,1.9645011
Bosnia and Herzegovina,2001,3.1733813,4179394,0.325743
Bosnia and Herzegovina,2004,3.734038,4140947,0.18114418
Bosnia and Herzegovina,2007,4.3540244,4013375,0.06645851
Bosnia and Herzegovina,2011,6.35032,3741747,0.074978754
Botswana,1985,1.477684,1121907,41.794
Botswana,1993,2.249898,1420068,34.1
Botswana,2002,2.2785535,1744721,29.139406
Botswana,2009,1.9368095,1990616,17.686708
Botswana,2015,2.458906,2203232,15.426243
Brazil,1981,1.3809463,124063068,23.9479
Brazil,1982,1.3512094,126923109,24.424822
Brazil,1983,1.2782167,129790032,30.580912
Brazil,1984,1.263146,132658811,29.915466
Brazil,1985,1.3290781,135515541,25.75045
Brazil,1986,1.425789,138336321,12.265663
Brazil,1987,1.4596778,141104892,19.946053
Brazil,1988,1.44407,143826311,22.418053
Brazil,1989,1.4475551,146502923,20.403696
Brazil,1990,1.4660945,149143183,23.992811
Brazil,1992,1.5141854,154275022,23.291227
Brazil,1993,1.5581285,156794519,22.100883
Brazil,1995,1.6612233,161735036,14.736035
Brazil,1996,1.761916,164202497,16.00468
Brazil,1997,1.8417498,166661609,15.976236
