name,score,episodes,episode_group,type
Samurai 7,7.56,26.0,14-26,TV
Scrapped Princess,7.47,24.0,14-26,TV
s.CRY.ed,7.43,26.0,14-26,TV
Shingetsutan Tsukihime,7.02,12.0,7-13,TV
Strange Dawn,6.52,13.0,7-13,TV
Tenjou Tenge,7.04,24.0,14-26,TV
Tokyo Underground,6.69,26.0,14-26,TV
Triangle Heart: Sweet Songs Forever,6.24,4.0,2-6,OVA
Tsubasa Chronicle,7.63,26.0,14-26,TV
Ultra Maniac,7.25,26.0,14-26,TV
Vandread,7.28,13.0,7-13,TV
Vandread: The Second Stage,7.49,13.0,7-13,TV
Whistle!,7.49,39.0,27-52,TV
Xenosaga The Animation,6.43,12.0,7-13,TV
Initial D Second Stage,8.16,13.0,7-13,TV
Gosenzo San'e,6.21,4.0,2-6,OVA
Love Hina,7.23,24.0,14-26,TV
Love Hina Again,7.32,3.0,2-6,OVA
Maburaho,6.91,24.0,14-26,TV
Macross Zero,7.62,5.0,2-6,OVA
Onegai☆Teacher,7.29,12.0,7-13,TV
Onegai☆Twins,6.97,12.0,7-13,TV
Rizelmine,6.61,24.0,14-26,TV
Speed Grapher,7.42,24.0,14-26,TV
Tenshi na Konamaiki,7.55,50.0,27-52,TV
Video Girl Ai,7.27,6.0,2-6,OVA
Wolf's Rain,7.89,26.0,14-26,TV
Yumeria,6.2,12.0,7-13,TV
Samurai Champloo,8.5,26.0,14-26,TV
Lodoss-tou Senki: Eiyuu Kishi Den,7.22,27.0,27-52,TV
Lodoss-tou Senki,7.5,13.0,7-13,OVA
R.O.D: Read or Die,7.73,3.0,2-6,OVA
Pure Mail,6.35,2.0,2-6,OVA
Pia Carrot e Youkoso!!,6.13,3.0,2-6,OVA
Pia Carrot e Youkoso!! 2,6.29,3.0,2-6,OVA
Pia Carrot e Youkoso!! 2 DX,6.42,6.0,2-6,OVA
Shin Angel,6.37,5.0,2-6,OVA
Kidou Senkan Nadesico,7.57,26.0,14-26,TV
Kuro no Danshou,5.93,4.0,2-6,OVA
Mezzo DSA,6.74,13.0,7-13,TV
Dragon Ball GT,6.65,64.0,53-100,TV
Elfen Lied,7.72,13.0,7-13,TV
FLCL,8.07,6.0,2-6,OVA
Jigoku Shoujo,7.73,26.0,14-26,TV
Ninin ga Shinobuden,6.99,12.0,7-13,TV
Air Master,7.09,27.0,27-52,TV
Cardcaptor Sakura,8.21,70.0,53-100,TV
Daa! Daa! Daa!,7.77,78.0,53-100,TV
Dan Doh!!,6.74,26.0,14-26,TV
E's Otherwise,6.7,26.0,14-26,TV
Koukyoushihen Eureka Seven,8.14,50.0,27-52,TV
Gankutsuou,8.2,24.0,14-26,TV
Genshiken,7.71,12.0,7-13,TV
Girls Bravo: First Season,6.59,11.0,7-13,TV
Gokusen,7.46,13.0,7-13,TV
Great Teacher Onizuka,8.73,43.0,27-52,TV
Groove Adventure Rave,7.38,51.0,27-52,TV
Harukanaru Toki no Naka de: Hachiyou Shou,7.13,26.0,14-26,TV
Kyou kara Maou!,7.83,78.0,53-100,TV
Madlax,7.12,26.0,14-26,TV
Jungle wa Itsumo Hare nochi Guu,7.92,26.0,14-26,TV
Jungle wa Itsumo Hare nochi Guu Deluxe,7.9,6.0,2-6,OVA
Jungle wa Itsumo Hare nochi Guu Final,7.73,7.0,7-13,OVA
Hitsuji no Uta,6.36,4.0,2-6,OVA
Happy☆Lesson (TV),6.75,13.0,7-13,TV
Happy☆Lesson: Advance,6.93,13.0,7-13,TV
Happy☆Lesson: The Final,6.92,3.0,2-6,OVA
Hajime no Ippo,8.79,75.0,53-100,TV
Gungrave,7.93,26.0,14-26,TV
Golden Boy,8.04,6.0,2-6,OVA
Hellsing,7.59,13.0,7-13,TV
Gad Guard,6.76,26.0,14-26,TV
Noir,7.37,26.0,14-26,TV
Mahoutsukai ni Taisetsu na Koto,6.82,12.0,7-13,TV
Kiddy Grade,7.27,24.0,14-26,TV
Love♥Love?,5.99,9.0,7-13,TV
Mahoromatic: Automatic Maiden,7.25,12.0,7-13,TV
Mahoromatic 2,7.24,14.0,14-26,TV
Viewtiful Joe,6.84,51.0,27-52,TV
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.21,13.0,7-13,TV
Animal Yokochou,6.97,51.0,27-52,TV
Akane Maniax,5.78,3.0,2-6,OVA
Angel Heart,7.34,50.0,27-52,TV
Akage no Anne,7.72,50.0,27-52,TV
Area 88 (TV),7.1,12.0,7-13,TV
Argento Soma,6.86,25.0,14-26,TV
B'T X,7.14,25.0,14-26,TV
Bakuten Shoot Beyblade,6.8,51.0,27-52,TV
Comic Party,6.64,13.0,7-13,TV
Seikai no Monshou,7.77,13.0,7-13,TV
Dear Boys,6.94,26.0,14-26,TV
Divergence Eve 2: Misaki Chronicles,6.35,13.0,7-13,TV
Dragon Drive,6.82,38.0,27-52,TV
Grenadier: Hohoemi no Senshi,6.79,12.0,7-13,TV
.hack//Liminality,6.68,4.0,2-6,OVA
3x3 Eyes,6.89,4.0,2-6,OVA
Cinderella Boy,6.33,13.0,7-13,TV
Mirai Shounen Conan,8.13,26.0,14-26,TV
Abashiri Ikka,5.52,4.0,2-6,OVA
Abenobashi Mahou☆Shoutengai,7.33,13.0,7-13,TV
Kerokko Demetan,6.03,39.0,27-52,TV
Zettai Shounen,6.99,26.0,14-26,TV
Akahori Gedou Hour Rabuge,6.23,13.0,7-13,TV
"Chiisana Obake Acchi, Kocchi, Socchi",6.16,50.0,27-52,TV
Ace wo Nerae!,7.04,26.0,14-26,TV
Ace wo Nerae!: Final Stage,6.56,12.0,7-13,OVA
Ace wo Nerae! 2,6.8,13.0,7-13,OVA
Nageki no Kenkou Yuuryouji,6.32,3.0,2-6,OVA
Hand Maid May,6.81,10.0,7-13,TV
Happy World!,6.07,3.0,2-6,OVA
A Kite,6.64,2.0,2-6,OVA
Paradise Kiss,7.89,12.0,7-13,TV
Mousou Dairinin,7.72,13.0,7-13,TV
Kidou Keisatsu Patlabor: On Television,7.72,47.0,27-52,TV
Petshop of Horrors,7.35,4.0,2-6,TV
Puchi Pri*Yucie,7.51,26.0,14-26,TV
Piano (TV),6.06,10.0,7-13,TV
Planetes,8.35,26.0,14-26,TV
Midori no Hibi,7.38,13.0,7-13,TV
Mahoujin Guruguru,7.72,45.0,27-52,TV
Dokidoki♡Densetsu: Mahoujin Guruguru,7.36,38.0,27-52,TV
Mama wa Shougaku 4 Nensei,7.26,51.0,27-52,TV
Marmalade Boy,7.61,76.0,53-100,TV
Matantei Loki Ragnarok,7.37,26.0,14-26,TV
Ginyuu Mokushiroku Meine Liebe,6.5,13.0,7-13,TV
Psychic Academy,6.31,24.0,14-26,TV
Versailles no Bara,8.37,40.0,27-52,TV
Serial Experiments Lain,8.01,13.0,7-13,TV
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.64,26.0,14-26,TV
Spiral: Suiri no Kizuna,7.33,25.0,14-26,TV
Starship Operators,7.05,13.0,7-13,TV
Tsukuyomi: Moon Phase,7.09,25.0,14-26,TV
Futatsu no Spica,7.44,20.0,14-26,TV
Eikoku Koi Monogatari Emma,7.75,12.0,7-13,TV
W: Wish,6.26,13.0,7-13,TV
Wild Arms: Twilight Venom,6.72,22.0,14-26,TV
Binzume Yousei,6.51,13.0,7-13,TV
Magical Canan,6.33,13.0,7-13,TV
Ojamajo Doremi,7.22,51.0,27-52,TV
Ojamajo Doremi Sharp,7.37,49.0,27-52,TV
Motto! Ojamajo Doremi,7.34,50.0,27-52,TV
Ojamajo Doremi Dokkaan!,7.59,51.0,27-52,TV
UG☆Ultimate Girls,5.67,12.0,7-13,TV
Shakugan no Shana,7.63,24.0,14-26,TV
Fate/stay night,7.49,24.0,14-26,TV
Bokusatsu Tenshi Dokuro-chan,6.73,4.0,2-6,OVA
"Iriya no Sora, UFO no Natsu",7.05,6.0,2-6,OVA
I'll/CKBC,6.4,2.0,2-6,OVA
Himiko-den,6.31,12.0,7-13,TV
Memories Off,6.01,3.0,2-6,OVA
Memories Off 2nd,6.39,3.0,2-6,OVA
Memories Off 3.5,6.39,4.0,2-6,OVA
Gallery Fake,7.57,37.0,27-52,TV
AIKa,6.0,7.0,7-13,OVA
Akazukin Chacha OVA,7.16,3.0,2-6,OVA
Bible Black,6.81,6.0,2-6,OVA
Boogiepop wa Warawanai: Boogiepop Phantom,7.22,12.0,7-13,TV
Burn Up Excess,6.64,13.0,7-13,TV
Bannou Bunka Neko-Musume,6.75,6.0,2-6,OVA
Bannou Bunka Neko-Musume DASH!,6.45,12.0,7-13,OVA
Bannou Bunka Neko-Musume (1998),6.62,12.0,7-13,TV
eX-Driver,6.83,6.0,2-6,OVA
Heppoko Jikken Animation Excel♥Saga,7.55,26.0,14-26,TV
Fushigi Yuugi OVA,7.24,3.0,2-6,OVA
Fushigi Yuugi: Dai Ni Bu,7.35,6.0,2-6,OVA
Futari Ecchi,6.47,4.0,2-6,OVA
Galaxy Angel,7.1,24.0,14-26,TV
Gantz,7.17,13.0,7-13,TV
Gilgamesh,6.74,26.0,14-26,TV
H2,7.34,41.0,27-52,TV
Haibane Renmei,8.02,13.0,7-13,TV
Capeta,7.9,52.0,27-52,TV
Karas,7.49,6.0,2-6,OVA
Suzuka,7.31,26.0,14-26,TV
Tales of Phantasia The Animation,6.9,4.0,2-6,OVA
Ai Yori Aoshi: Enishi,7.22,12.0,7-13,TV
Gantz 2nd Stage,7.2,13.0,7-13,TV
Seikai no Senki,7.8,13.0,7-13,TV
Seikai no Senki II,7.91,10.0,7-13,TV
Seihou Bukyou Outlaw Star,7.95,24.0,14-26,TV
Hanaukyou Maid-tai,6.69,12.0,7-13,TV
Bastard!!: Ankoku no Hakaishin,6.85,6.0,2-6,OVA
Buzzer Beater,6.65,13.0,7-13,TV
Tantei Gakuen Q,7.84,45.0,27-52,TV
Gun x Sword,7.34,26.0,14-26,TV
Kore ga Watashi no Goshujinsama,6.63,12.0,7-13,TV
Ragnarök The Animation,6.54,26.0,14-26,TV
Samurai Deeper Kyou,6.99,26.0,14-26,TV
Stratos 4,6.72,13.0,7-13,TV
Stratos 4 OVA,6.82,2.0,2-6,OVA
Stratos 4 Advance,6.92,6.0,2-6,OVA
Dirty Pair,7.22,24.0,14-26,TV
Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,6.53,2.0,2-6,OVA
Final Fantasy,6.2,4.0,2-6,OVA
Kaleido Star,8.03,51.0,27-52,TV
Iria: Zeiram The Animation,7.16,6.0,2-6,OVA
Magic Knight Rayearth,7.52,20.0,14-26,TV
Phantom The Animation,6.61,3.0,2-6,OVA
RG Veda,6.22,2.0,2-6,OVA
Shoujo Kakumei Utena,8.21,39.0,27-52,TV
