name,score,episodes,episode_group,type
Mobile Suit Gundam SEED Special Edition,7.41,3.0,2-6,Special
Saishuu Chikan Densha,6.54,3.0,2-6,OVA
Shin Saishuu Chikan Densha,6.55,3.0,2-6,OVA
Mahou Yuugi 2D,6.43,24.0,14-26,ONA
Hare Tokidoki Buta (TV),6.84,61.0,53-100,TV
Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,6.58,26.0,14-26,TV
Transformers: Car Robots,6.65,39.0,27-52,TV
D.I.C.E.,6.35,40.0,27-52,TV
Akihabara Dennou-gumi,6.64,26.0,14-26,TV
Bouken! Iczer 3,5.94,6.0,2-6,OVA
Mobile Suit SD Gundam Mk I,6.42,3.0,2-6,Special
Lime-iro Senkitan: Nankoku Yume Roman,6.32,2.0,2-6,OVA
Lime-iro Ryuukitan X,5.64,13.0,7-13,TV
Chou Kidou Densetsu DinaGiga,4.98,2.0,2-6,OVA
Akakichi no Eleven,6.8,52.0,27-52,TV
Hen,5.36,2.0,2-6,OVA
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.92,7.0,7-13,OVA
Giant Robo Gaiden Ginrei,6.13,3.0,2-6,OVA
Angel Blade,6.4,3.0,2-6,OVA
Angel Blade Punish!,6.51,3.0,2-6,OVA
Kyouhaku: Owaranai Ashita,5.92,3.0,2-6,OVA
Kyouhaku II (Second): Mou Hitotsu no Ashita The Animation,6.2,3.0,2-6,OVA
Shin Kyouhaku 2 The Animation: Kizu ni Saku Hana Senketsu no Kurenai,6.22,2.0,2-6,OVA
Jibaku-kun,7.5,26.0,14-26,TV
Uchuu Densetsu Ulysses 31,7.15,26.0,14-26,TV
Anime Sanjuushi,7.22,52.0,27-52,TV
Tetsujin 28-gou (2004),7.52,26.0,14-26,TV
Youjuu Kyoushitsu,5.32,6.0,2-6,OVA
Youjuu Kyoushitsu Gaiden,5.42,4.0,2-6,OVA
Gedou Gakuen,5.73,5.0,2-6,OVA
Choujin Densetsu Urotsukidouji,6.2,3.0,2-6,OVA
Shin Choujin Densetsu Urotsukidouji Mataiden,5.87,2.0,2-6,OVA
Choujin Densetsu Urotsukidouji: Mirai-hen,5.89,4.0,2-6,OVA
Choujin Densetsu Urotsukidouji: Inferno Road,5.58,3.0,2-6,OVA
Shitai wo Arau The Animation,5.59,3.0,2-6,OVA
Bondage Game: Shinsou no Reijoutachi,5.33,2.0,2-6,OVA
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,5.42,3.0,2-6,OVA
Pigeon Blood,5.55,2.0,2-6,OVA
Daiakuji: The Xena Buster,6.75,6.0,2-6,OVA
Daiakuji: The Xena Buster Specials,6.7,2.0,2-6,Special
Kojin Taxi,6.28,5.0,2-6,OVA
Sei Juushi Bismarck,7.33,51.0,27-52,TV
Run=Dim,5.07,13.0,7-13,TV
Pokemon Housoukyoku,6.94,16.0,14-26,TV
Virus: Virus Buster Serge,5.53,12.0,7-13,TV
Touma Kishinden Oni,6.21,25.0,14-26,TV
Moetan,6.49,12.0,7-13,TV
Ryouki no Ori: Dai 2 Shou,5.84,3.0,2-6,OVA
Rental Magica,7.12,24.0,14-26,TV
Ryojoku no Rensa,6.09,2.0,2-6,OVA
Hotaruko,6.16,3.0,2-6,OVA
Enbo,7.25,6.0,2-6,OVA
Mugen no Kyoukai,5.7,4.0,2-6,OVA
Shusaku,5.69,3.0,2-6,OVA
Shusaku Replay,6.0,4.0,2-6,OVA
Shusaku Liberty,5.86,2.0,2-6,OVA
Kisaku,6.57,6.0,2-6,OVA
Kisaku Spirit,6.28,3.0,2-6,OVA
Tokubetsu Jugyou,5.44,2.0,2-6,OVA
Tokubetsu Jugyou 2,5.76,2.0,2-6,OVA
Firestorm,5.82,26.0,14-26,TV
Cybersix,7.32,13.0,7-13,TV
Hoshi no Kirby,6.76,100.0,53-100,TV
SD Gundam Force,5.49,52.0,27-52,TV
Ma ga Ochiru Yoru,6.55,3.0,2-6,OVA
Kangoku: Injoku no Jikkentou,5.57,2.0,2-6,OVA
Milk Junkie: Shimai-hen,6.92,4.0,2-6,OVA
Ghost Sweeper GS Mikami,7.26,45.0,27-52,TV
Ashita no Joe,8.31,79.0,53-100,TV
Kodomo no Jikan (TV),6.99,12.0,7-13,TV
Zombie-Loan,6.99,11.0,7-13,TV
Hello! Lady Lynn,7.76,36.0,27-52,TV
Gokudou-kun Manyuuki,7.57,26.0,14-26,TV
Soreyuke Marin-chan,6.68,3.0,2-6,OVA
Ane to Boin,6.79,2.0,2-6,OVA
Cambrian,5.85,2.0,2-6,OVA
Boin,6.72,2.0,2-6,OVA
Assemble Insert,6.17,2.0,2-6,OVA
Super Fishing Grander Musashi,6.98,25.0,14-26,TV
Grander Musashi RV,7.15,39.0,27-52,TV
Spirit of Wonder: Shounen Kagaku Club,6.76,2.0,2-6,OVA
"Suteki Desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",7.6,3.0,2-6,Special
Gekka Bijin,6.22,2.0,2-6,OVA
Nikuyoku Gangu Takuhainin,6.31,3.0,2-6,OVA
Discipline,7.02,6.0,2-6,OVA
Lingeries,7.04,3.0,2-6,OVA
Kijoku: Princess Double Kari,5.99,3.0,2-6,OVA
Choubatsu Yobikou,6.04,2.0,2-6,OVA
Angelium,5.96,2.0,2-6,OVA
Elfina: Yoru e to Urareta Oukoku de... The Animation,6.17,3.0,2-6,OVA
Hitozuma♪Kasumi-san,6.82,2.0,2-6,OVA
Hooligan,5.79,2.0,2-6,OVA
Suki da yo!,6.04,2.0,2-6,OVA
Koihime,6.72,2.0,2-6,OVA
Zoku Koihime,6.65,2.0,2-6,OVA
Kara no Naka no Kotori,5.63,5.0,2-6,OVA
Maids in Dream,5.82,2.0,2-6,OVA
Maple Colors,6.42,2.0,2-6,OVA
Nikuyome: Takayanagi Ke no Hitobito,7.14,4.0,2-6,OVA
Chibo,6.18,2.0,2-6,OVA
Space Cobra,7.8,31.0,27-52,TV
Dennou Sentai Voogie's★Angel,5.6,3.0,2-6,OVA
Prayers,5.52,2.0,2-6,OVA
Majokko Tsukune-chan,6.74,6.0,2-6,OVA
Kimagure Orange☆Road OVA,7.56,8.0,7-13,OVA
Toushinden,5.35,2.0,2-6,OVA
Shounan Bakusouzoku,6.59,12.0,7-13,OVA
Yoshinaga-san'chi no Gargoyle Specials,6.46,5.0,2-6,Special
Idol Bouei-tai Hummingbird,5.83,4.0,2-6,OVA
3 Choume no Tama: Uchi no Tama Shirimasenka?,6.73,36.0,27-52,TV
Ogenki Clinic,6.0,3.0,2-6,OVA
Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,6.14,2.0,2-6,OVA
6 Angels,4.42,6.0,2-6,ONA
School Days,5.98,12.0,7-13,TV
Kaitouranma The Animation,6.06,2.0,2-6,OVA
Gear Fighter Dendoh,7.3,38.0,27-52,TV
Doku Tenshi no Shippo,6.56,4.0,2-6,Special
Onegai My Melody,7.14,52.0,27-52,TV
Chance Triangle Session,6.68,13.0,7-13,TV
Shin Cutey Honey,6.69,8.0,7-13,OVA
The Cockpit,7.28,3.0,2-6,OVA
Papuwa,6.96,26.0,14-26,TV
Nangoku Shounen Papuwa-kun,6.43,42.0,27-52,TV
Ringetsu The Animation,6.74,3.0,2-6,OVA
Tsuma Tsuma,6.38,2.0,2-6,OVA
Genshiken 2,7.82,12.0,7-13,TV
Sengoku Majin Goushougun,6.79,26.0,14-26,TV
Uchuu no Senshi,6.26,6.0,2-6,OVA
Masuda Kousuke Gekijou Gag Manga Biyori 2,7.39,12.0,7-13,TV
Haja Kyosei G Dangaiou,5.39,13.0,7-13,TV
Rakushou! Hyper Doll,5.77,2.0,2-6,OVA
Izumo: Takeki Tsurugi no Senki,6.31,12.0,7-13,TV
Kekkou Kamen,5.82,4.0,2-6,OVA
Kotetsu no Daibouken,5.88,2.0,2-6,OVA
Megami Paradise,5.55,2.0,2-6,OVA
G-Taste,6.01,7.0,7-13,OVA
Gibomai,6.71,2.0,2-6,OVA
Onna Kyoushi Yumi no Houkago,5.94,2.0,2-6,OVA
D+vine Luv,6.4,4.0,2-6,OVA
Angelique,6.43,3.0,2-6,OVA
Angelique: Seichi yori Ai wo Komete,6.37,3.0,2-6,OVA
Angelique: Shiroi Tsubasa no Memoire,6.03,2.0,2-6,OVA
Angelique: Twin Collection,6.15,8.0,7-13,OVA
With You: Mitsumeteitai,5.51,2.0,2-6,OVA
Itazura The Animation,6.7,2.0,2-6,OVA
Tonari no Oneesan,5.92,2.0,2-6,OVA
Dokusen,5.62,2.0,2-6,OVA
Lady Georgie,7.26,45.0,27-52,TV
Robin Hood no Daibouken,7.22,52.0,27-52,TV
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,7.3,50.0,27-52,TV
Huckleberry no Bouken,6.21,26.0,14-26,TV
Alps Monogatari: Watashi no Annette,6.73,48.0,27-52,TV
Princess Sara,7.76,46.0,27-52,TV
Ai no Wakakusa Monogatari,7.5,48.0,27-52,TV
Perrine Monogatari,7.6,53.0,53-100,TV
Nessa no Wakusei,5.24,2.0,2-6,OVA
Tetsuko no Tabi,6.5,13.0,7-13,TV
Flanders no Inu,7.45,52.0,27-52,TV
Ai Shoujo Pollyanna Story,6.94,51.0,27-52,TV
Shoukoushi Cedie,7.48,43.0,27-52,TV
Jungle Taitei (1989),6.77,52.0,27-52,TV
Trapp Ikka Monogatari,7.71,40.0,27-52,TV
Wakakusa Monogatari: Nan to Jo-sensei,7.69,40.0,27-52,TV
Romeo no Aoi Sora,8.42,33.0,27-52,TV
Captain Future,7.13,52.0,27-52,TV
Shion no Ou,7.62,22.0,14-26,TV
Code-E,6.48,12.0,7-13,TV
Uchuujin Tanaka Tarou,6.26,24.0,14-26,TV
Pinocchio yori Piccolino no Bouken,6.24,52.0,27-52,TV
Kojika Monogatari,6.47,52.0,27-52,TV
Jungle Book Shounen Mowgli,6.98,52.0,27-52,TV
Ochame na Futago: Claire Gakuin Monogatari,7.11,26.0,14-26,TV
Mitsubachi Maya no Bouken,6.43,52.0,27-52,TV
Fushigi no Kuni no Alice,6.5,52.0,27-52,TV
Minami no Niji no Lucy,7.03,50.0,27-52,TV
Kashi no Ki Mokku,5.88,52.0,27-52,TV
Don Chuck Monogatari,6.07,26.0,14-26,TV
Araiguma Rascal,6.73,52.0,27-52,TV
Tom Sawyer no Bouken,7.17,49.0,27-52,TV
TaoTao Ehonkan Sekai Doubutsu Banashi,6.95,52.0,27-52,TV
Anime 80-nichikan Sekai Isshuu,6.87,26.0,14-26,TV
Mobile Suit Gundam 00,8.2,25.0,14-26,TV
Soukou Kihei Votoms,7.81,52.0,27-52,TV
Soukou Kihei Votoms: Kakuyaku taru Itan,7.07,5.0,2-6,OVA
Genmukan,6.45,2.0,2-6,OVA
D.C.II: Da Capo II,7.0,13.0,7-13,TV
Shinreigari: Ghost Hound,7.53,22.0,14-26,TV
Juusenki L-Gaim,6.8,54.0,53-100,TV
Kenkou Zenrakei Suieibu Umishou,7.21,13.0,7-13,TV
Mushi-Uta,6.73,12.0,7-13,TV
Sky Girls,7.08,26.0,14-26,TV
Sayonara Zetsubou Sensei,7.97,12.0,7-13,TV
Wangan Midnight,7.49,26.0,14-26,TV
Kakyuusei (TV),6.3,13.0,7-13,TV
Kakyuusei,5.69,4.0,2-6,OVA
Panda Kopanda,6.85,2.0,2-6,Movie
Mirai Shounen Conan 2: Taiga Daibouken,6.88,24.0,14-26,TV
Ghiblies,6.53,2.0,2-6,Special
Takarajima,8.02,26.0,14-26,TV
Spider Riders: Oracle no Yuusha-tachi,6.69,26.0,14-26,TV
Spider Riders: Yomigaeru Taiyou,6.77,26.0,14-26,TV
"Flanders no Inu, Boku no Patrasche",7.22,26.0,14-26,TV
Teki wa Kaizoku: Neko-tachi no Kyouen,6.25,6.0,2-6,OVA
One Piece: Straw Hat Theater,7.5,5.0,2-6,Special
Spaceship Agga Ruter,6.66,4.0,2-6,OVA
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,7.35,12.0,7-13,TV
Buzzer Beater 2nd Season,6.92,13.0,7-13,TV
Tsubasa: Tokyo Revelations,8.39,3.0,2-6,OVA
Akai Koudan Zillion,6.7,31.0,27-52,TV
CB Chara Go Nagai World,7.0,3.0,2-6,OVA
Detatoko Princess,6.09,3.0,2-6,OVA
Hidamari no Ki,6.6,25.0,14-26,TV
Crusher Joe OVA,6.64,2.0,2-6,OVA
Hi-Speed Jecy,6.23,12.0,7-13,OVA
Uchuu Kaizoku Mito no Daibouken,6.55,13.0,7-13,TV
Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,6.33,13.0,7-13,TV
Bakukyuu Renpatsu!! Super B-Daman,6.43,18.0,14-26,TV
Chousoku Spinner,6.77,22.0,14-26,TV
Kaiketsu Jouki Tanteidan,6.73,26.0,14-26,TV
Bakusou Kyoudai Let's & Go,6.87,51.0,27-52,TV
Bakusou Kyoudai Let's & Go WGP,7.06,51.0,27-52,TV
Majime ni Fumajime Kaiketsu Zorori,6.97,97.0,53-100,TV
Wankorobee,5.48,26.0,14-26,TV
Bakusou Kyoudai Let's & Go MAX,6.68,51.0,27-52,TV
Rockman.EXE Beast+,7.01,26.0,14-26,TV
Sotsugyou: Graduation,6.22,2.0,2-6,OVA
Urayasu Tekkin Kazoku,7.08,33.0,27-52,TV
Ginga Tetsudou Monogatari: Eien e no Bunkiten,6.98,24.0,14-26,TV
Umi no Triton,6.49,27.0,27-52,TV
MapleStory,5.44,25.0,14-26,TV
Reinou Tantei Miko,5.82,2.0,2-6,OVA
Daicon Opening Animations,7.74,2.0,2-6,Special
Sukeban Deka,6.48,2.0,2-6,OVA
Sweet Valerian,5.8,18.0,14-26,TV
1+2=Paradise,5.09,2.0,2-6,OVA
Shishunki Bishoujo Gattai Robo Z-Mind,5.75,6.0,2-6,OVA
Baby Baachan,6.66,53.0,53-100,TV
MiniPato,6.53,3.0,2-6,Movie
Mugen Senki Portriss,5.61,52.0,27-52,TV
Mojakou,7.26,74.0,53-100,TV
Kouryuu no Mimi: Mina no Shou,5.12,2.0,2-6,OVA
Kasumin 3rd Season,6.26,26.0,14-26,TV
Highschool Aurabuster: Hikari no Mezame,6.27,3.0,2-6,OVA
Monkey Turn,6.36,25.0,14-26,TV
Monkey Turn V,6.56,25.0,14-26,TV
Omoikkiri Kagaku Adventure Sou Nanda!,5.84,26.0,14-26,TV
Potemayo,7.35,12.0,7-13,TV
Jigoku Sensei Nube OVA,7.3,3.0,2-6,OVA
Dash! Kappei,7.28,65.0,53-100,TV
Heisei Inu Monogatari Bow,6.84,40.0,27-52,TV
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,8.04,6.0,2-6,OVA
Cleopatra D.C.,5.98,3.0,2-6,OVA
Juuni Senshi Bakuretsu Eto Ranger,6.97,39.0,27-52,TV
Shippuu! Iron Leaguer,7.16,52.0,27-52,TV
Igano Kabamaru,8.03,24.0,14-26,TV
Super Doll Licca-chan,6.63,52.0,27-52,TV
Galactic Patrol Lensman,6.47,25.0,14-26,TV
Chou Kuse ni Narisou,6.41,39.0,27-52,TV
Juushin Enbu: Hero Tales,6.93,26.0,14-26,TV
Genocyber,5.97,5.0,2-6,OVA
Generation of Chaos III: Toki no Fuuin,4.24,2.0,2-6,OVA
Sotsugyou M: Ore-tachi no Carnival,5.56,2.0,2-6,OVA
Saint Luminous Jogakuin,6.13,13.0,7-13,TV
Fire Emblem,5.79,2.0,2-6,OVA
Oyayubi Hime Monogatari,6.73,26.0,14-26,TV
OZ,5.48,2.0,2-6,OVA
Bakegyamon,6.76,51.0,27-52,TV
Shakugan no Shana II (Second),7.7,24.0,14-26,TV
Stratosphera no Yousei,5.78,3.0,2-6,OVA
B-Legend! Battle B-Daman,6.35,52.0,27-52,TV
Kussetsu,6.07,3.0,2-6,OVA
Dragonaut: The Resonance,6.75,25.0,14-26,TV
Koukou Tekken-den Tough,7.11,3.0,2-6,OVA
Hatsu Inu The Animation,7.39,2.0,2-6,OVA
Hello! Sandybell,7.12,47.0,27-52,TV
Densetsu no Yuusha Da Garn,7.25,46.0,27-52,TV
Hana no Mahoutsukai Mary Bell,6.66,50.0,27-52,TV
Fuusen Shoujo Temple-chan,6.45,26.0,14-26,TV
Anime Himitsu no Hanazono,7.1,39.0,27-52,TV
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.38,52.0,27-52,TV
Dondon Domeru to Ron,6.78,52.0,27-52,TV
Geragera Boes Monogatari,7.12,52.0,27-52,TV
Toushou Daimos,7.25,44.0,27-52,TV
Cinderella Monogatari,7.44,26.0,14-26,TV
Madou King Granzort,7.29,41.0,27-52,TV
Dragon Quest: Abel Yuusha Densetsu,7.05,43.0,27-52,TV
Time Travel Tondekeman!,7.42,39.0,27-52,TV
Bad End,5.41,2.0,2-6,OVA
Bamboo Bears,6.32,52.0,27-52,TV
Barbapapa,6.2,45.0,27-52,TV
Barbapapa Sekai wo Mawaru,6.03,50.0,27-52,TV
Arabian Nights: Sindbad no Bouken (TV),7.26,52.0,27-52,TV
Oz no Mahoutsukai (1986),6.82,52.0,27-52,TV
Calimero,6.26,45.0,27-52,TV
Ie Naki Ko,7.83,51.0,27-52,TV
Ie Naki Ko Remy,8.02,23.0,14-26,TV
Ani*Kuri15,6.9,15.0,14-26,Special
Miracle☆Girls,7.25,51.0,27-52,TV
Patalliro!,7.56,49.0,27-52,TV
Chiisana Viking Vickie,6.61,78.0,53-100,TV
Ariel Deluxe,5.64,2.0,2-6,OVA
Toushin Toshi II,5.83,3.0,2-6,OVA
Ariel Visual,5.45,2.0,2-6,OVA
Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,6.8,2.0,2-6,OVA
Accelerando: Datenshi-tachi no Sasayaki,6.96,4.0,2-6,OVA
Ikusa Otome Valkyrie,6.29,2.0,2-6,OVA
Ikusa Otome Valkyrie Shinshou,6.23,2.0,2-6,OVA
Seifuku Shojo The Animation,6.41,2.0,2-6,OVA
Tokineiro,5.17,2.0,2-6,OVA
21-ji no Onna: Newscaster Katsuragi Miki,5.89,3.0,2-6,OVA
2x1,5.3,2.0,2-6,OVA
Ane☆Haramix,6.91,4.0,2-6,OVA
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,7.11,2.0,2-6,OVA
Bakunyuu Oyako,6.32,2.0,2-6,OVA
Asgaldh: The Distortion Testament,5.83,3.0,2-6,OVA
Bible Black Only Version,6.94,2.0,2-6,OVA
Chikan Monogatari,6.36,2.0,2-6,OVA
Chinmoku no Kantai,6.43,3.0,2-6,OVA
Anime Oyako Gekijou,5.94,26.0,14-26,TV
Ganbare Goemon,6.2,23.0,14-26,TV
Kinbaku no Yakata: Ryakudatsu,5.48,2.0,2-6,OVA
Houkago: Nureta Seifuku,6.54,3.0,2-6,OVA
Sakigake!! Otokojuku,7.42,34.0,27-52,TV
Code Geass: Hangyaku no Lelouch R2,8.94,25.0,14-26,TV
Ikkitousen: Dragon Destiny Specials,6.75,6.0,2-6,Special
Cyborg Kuro-chan,7.16,66.0,53-100,TV
Koi Koi 7 Specials,5.93,7.0,7-13,Special
Kyoushirou to Towa no Sora Specials,6.66,6.0,2-6,Special
Ohayou! Spank,6.69,63.0,53-100,TV
Daisougen no Chiisana Tenshi: Bush Baby,7.12,40.0,27-52,TV
Genki Bakuhatsu Ganbaruger,6.98,47.0,27-52,TV
Seijun Kango Gakuin,6.38,3.0,2-6,OVA
Ashita no Joe 2,8.63,47.0,27-52,TV
Shugo Chara!,7.55,51.0,27-52,TV
ef: A Tale of Memories.,8.03,12.0,7-13,TV
Myself; Yourself,7.32,13.0,7-13,TV
Kimikiss Pure Rouge,7.41,24.0,14-26,TV
Moonlight Mile 2nd Season: Touch Down,7.43,14.0,14-26,TV
Tensai? Dr. Hamax,5.31,12.0,7-13,TV
Mokke,7.13,24.0,14-26,TV
Mirai Keisatsu Urashiman,6.82,50.0,27-52,TV
Shiawase Sou no Okojo-san,6.69,51.0,27-52,TV
Ryokan Shirasagi,6.19,2.0,2-6,OVA
Private Emotion,5.45,2.0,2-6,OVA
Idol Densetsu Eriko,6.86,51.0,27-52,TV
Sketchbook: Full Color's,7.43,13.0,7-13,TV
Inbaku Gakuen,6.39,3.0,2-6,OVA
Seisai,5.47,2.0,2-6,OVA
Hitozuma Ryoujoku Sankanbi,6.38,2.0,2-6,OVA
Angel Core: Tenshi-tachi no Sumika,5.66,2.0,2-6,OVA
Maria-sama ga Miteru 3rd Specials,7.45,5.0,2-6,Special
Hana no Joshi Announcer: Newscaster Etsuko,6.52,2.0,2-6,OVA
Shin-ban Megami Tantei Vinus File,5.78,2.0,2-6,OVA
Okusama wa Mahoutsukai,5.9,2.0,2-6,OVA
Hitozuma Cosplay Kissa,6.13,2.0,2-6,OVA
Utsukushiki Sei no Dendoushi Reirei,5.64,2.0,2-6,OVA
Kininaru Roommate,6.63,2.0,2-6,OVA
Minami-ke,7.76,13.0,7-13,TV
Blue Drop: Tenshi-tachi no Gikyoku,6.8,13.0,7-13,TV
Suteki Tantei Labyrinth,6.85,25.0,14-26,TV
Ookami to Koushinryou,8.33,13.0,7-13,TV
Saishuu Shiken Kujira,5.12,12.0,7-13,ONA
Night Wizard,6.76,13.0,7-13,TV
Kyou kara Maou! R,7.56,5.0,2-6,OVA
Youjuu Sensen Adventure Kid,5.38,3.0,2-6,OVA
Shin Getter Robo,7.43,13.0,7-13,OVA
Akiko,5.4,2.0,2-6,OVA
Kuusou Kagaku Sekai Gulliver Boy,6.6,50.0,27-52,TV
Yuuwaku,6.65,2.0,2-6,OVA
Majin Tantei Nougami Neuro,7.7,25.0,14-26,TV
Bamboo Blade,7.39,26.0,14-26,TV
Ginga Hyouryuu Vifam,7.28,46.0,27-52,TV
Mahou Shoujo Ai,6.65,5.0,2-6,OVA
Rosario to Vampire,7.03,13.0,7-13,TV
Death Note: Rewrite,7.8,2.0,2-6,Special
Taiho Shichau zo: Full Throttle,7.28,23.0,14-26,TV
Moyashimon,7.64,11.0,7-13,TV
Gyakkyou Burai Kaiji: Ultimate Survivor,8.31,26.0,14-26,TV
Saint Beast: Ikusen no Hiru to Yoru-hen,6.32,2.0,2-6,OVA
Kaiketsu Zorro,7.3,52.0,27-52,TV
Yotsunoha,6.42,2.0,2-6,OVA
Gekitou! Crush Gear Turbo,6.88,68.0,53-100,TV
Gu-Gu Ganmo,6.18,50.0,27-52,TV
Yume Senshi Wingman,6.73,47.0,27-52,TV
Haai Step Jun,6.38,45.0,27-52,TV
Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,5.63,2.0,2-6,OVA
Compiler,5.32,2.0,2-6,OVA
Kurai Mirai,5.91,2.0,2-6,OVA
Chouon Senshi Borgman,6.48,35.0,27-52,TV
Tobe! Isami,7.3,50.0,27-52,TV
Campus,6.0,2.0,2-6,OVA
Tetsuwan Atom (1980),7.22,52.0,27-52,TV
Shiroki Tenshi-tachi no Rondo,5.94,2.0,2-6,OVA
In no Houteishiki,6.37,2.0,2-6,OVA
Panchira Teacher,6.5,2.0,2-6,OVA
Ganbare! Kickers,6.89,23.0,14-26,TV
La Seine no Hoshi,6.62,39.0,27-52,TV
Natural,6.06,2.0,2-6,OVA
Loveless Specials,6.71,6.0,2-6,Special
Darling,6.55,3.0,2-6,OVA
Ninja Senshi Tobikage,7.12,43.0,27-52,TV
Dallos,6.01,4.0,2-6,OVA
Kishin Heidan,6.37,7.0,7-13,OVA
Futago no Haha Seihonnou,6.33,2.0,2-6,OVA
Gakuen Sodom,5.56,2.0,2-6,OVA
Kizuoibito,4.7,5.0,2-6,OVA
Ozanari Dungeon: Kaze no Tou,6.34,3.0,2-6,OVA
Robby to Kerobby,6.28,52.0,27-52,TV
Minerva no Kenshi,6.22,5.0,2-6,OVA
Tondera House no Daibouken,6.4,52.0,27-52,TV
Magical Twilight,6.04,3.0,2-6,OVA
Aoki Ryuusei SPT Layzner,7.18,38.0,27-52,TV
Attacker You!,6.64,58.0,53-100,TV
Koharu Biyori,6.71,3.0,2-6,OVA
Strait Jacket,6.9,3.0,2-6,OVA
xxxHOLiC Kei,8.29,13.0,7-13,TV
Junjou Romantica,7.95,12.0,7-13,TV
Sono Kinisasete yo: My My Mai,5.93,2.0,2-6,OVA
Shutsugeki! Machine Robo Rescue,6.89,53.0,53-100,TV
Juusenshi Gulkeeva,6.37,26.0,14-26,TV
F-Zero: Falcon Densetsu,6.47,51.0,27-52,TV
Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,7.26,2.0,2-6,OVA
Geisters: Fractions of the Earth,5.81,26.0,14-26,TV
Dark Shell: Ori no Naka no Namameki,6.22,2.0,2-6,OVA
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,5.99,2.0,2-6,OVA
Mei King,6.11,4.0,2-6,OVA
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.11,52.0,27-52,TV
Papillon Rose,4.86,6.0,2-6,TV
Chiisana Kyojin Microman,6.43,52.0,27-52,TV
Dash! Yonkurou,6.98,25.0,14-26,TV
Kodomo no Jikan OVA,7.18,3.0,2-6,OVA
Tokimeki Tonight,7.38,34.0,27-52,TV
Kaibutsu-kun (1980),6.67,94.0,53-100,TV
Ashita Tenki ni Naare,6.27,47.0,27-52,TV
Boukensha: The Man Was from Spain,6.31,26.0,14-26,TV
Ochamegami Monogatari: Korokoro Pollon,7.09,46.0,27-52,TV
GR: Giant Robo,6.72,13.0,7-13,TV
Genei Toushi Bastof Lemon,6.19,26.0,14-26,TV
Guardian Hearts-Power UP!,5.99,4.0,2-6,OVA
Houkago Mania Club: Koi no Hoshii no,5.35,2.0,2-6,OVA
Makiba no Shoujo Katri,6.93,49.0,27-52,TV
Ichigo Ichie: Koibana Tomobana,6.43,13.0,7-13,TV
Ayakashi,6.44,12.0,7-13,TV
Eve no Jikan,8.16,6.0,2-6,ONA
Ryoujoku Hitozuma Onsen,6.63,2.0,2-6,OVA
Sola Specials,7.01,2.0,2-6,Special
Nessa no Haou Gandalla,6.04,26.0,14-26,TV
Manga Aesop Monogatari (TV),6.44,52.0,27-52,TV
Fortune Quest L,6.56,26.0,14-26,TV
Asobot Senki Gokuu,6.8,52.0,27-52,TV
Ningyohime Marina no Bouken,6.43,26.0,14-26,TV
Wakakusa no Charlotte,6.91,30.0,27-52,TV
Nanatsu no Umi no Tico,7.52,39.0,27-52,TV
Pure-tou no Nakama-tachi,6.46,26.0,14-26,TV
Daisuki! Hello Kitty,6.39,26.0,14-26,TV
Cream Lemon: Lemon Angel,5.71,37.0,27-52,TV
Ikoku Irokoi Romantan,7.18,2.0,2-6,OVA
Ganbare Genki,7.51,35.0,27-52,TV
Gensoumaden Saiyuuki OVA,7.22,2.0,2-6,OVA
Minami-ke Okawari,7.4,13.0,7-13,TV
Major S4,8.31,26.0,14-26,TV
Zoku Sayonara Zetsubou Sensei,7.98,13.0,7-13,TV
Kimi ga Aruji de Shitsuji ga Ore de,7.27,13.0,7-13,TV
Druaga no Tou: The Aegis of Uruk,7.27,12.0,7-13,TV
Gunslinger Girl: Il Teatrino,7.24,13.0,7-13,TV
Magma Taishi,5.83,13.0,7-13,OVA
Cream Lemon,6.45,38.0,27-52,OVA
Kindaichi Shounen no Jikenbo Specials,7.37,2.0,2-6,Special
Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,6.93,5.0,2-6,Special
Daishikkin Helena,5.96,2.0,2-6,OVA
Hatara Kids Mai Ham Gumi,5.77,50.0,27-52,TV
Luv Wave,6.06,3.0,2-6,OVA
Soukou Kihei Votoms: Pailsen Files,7.37,12.0,7-13,OVA
Lemon Angel (1988),5.8,9.0,7-13,TV
Lemon Angel (1988/II),5.78,8.0,7-13,TV
