type,average_score,count,std,error
TV,6.764967161274629,4111,0.9411945832009988,0.028771450155645157
Special,6.475317324185249,583,0.8624411093944799,0.07000857591933941
OVA,6.449312612074118,1673,0.760940266654485,0.036463526401347944
ONA,5.992776203966005,706,1.067687471631252,0.078758578226435
Movie,5.815625,32,0.870731755664499,0.30169316122216927
