Year,Genre,Average Score,Count
1993.0,Fantasy,6.386666666666667,15
1993.0,Sci-Fi,6.607368421052631,19
1993.0,Drama,7.107692307692307,13
1993.0,Romance,6.7475000000000005,8
1993.0,Shounen,6.897857142857142,14
1993.0,School,7.24,5
1994.0,Comedy,6.607631578947369,38
1994.0,Action,6.6118749999999995,32
1994.0,Adventure,6.810967741935483,31
1994.0,Fantasy,6.595333333333333,15
1994.0,Sci-Fi,6.774615384615386,26
1994.0,Drama,6.866842105263157,19
1994.0,Romance,6.7169565217391325,23
1994.0,Shounen,6.908888888888888,18
1994.0,Slice of Life,6.061428571428571,7
1994.0,School,6.612857142857143,7
1995.0,Comedy,6.742222222222223,45
1995.0,Action,6.739999999999999,26
1995.0,Adventure,6.792727272727273,33
1995.0,Fantasy,6.6848,25
1995.0,Sci-Fi,6.662941176470588,17
1995.0,Drama,7.025882352941177,17
1995.0,Romance,7.2475000000000005,16
1995.0,Shounen,7.0649999999999995,14
1995.0,Slice of Life,6.843999999999999,10
1995.0,School,6.6899999999999995,5
1996.0,Comedy,6.85,40
1996.0,Action,6.328846153846153,26
1996.0,Adventure,6.964324324324324,37
1996.0,Fantasy,6.5168,25
1996.0,Sci-Fi,6.57,24
1996.0,Drama,7.405333333333332,15
1996.0,Romance,7.154210526315788,19
1996.0,Shounen,6.802799999999999,25
1996.0,Slice of Life,6.688571428571429,7
1997.0,Comedy,6.4980769230769235,52
1997.0,Action,6.681666666666667,30
1997.0,Adventure,6.596976744186046,43
1997.0,Fantasy,6.607692307692307,26
1997.0,Sci-Fi,6.571249999999999,24
1997.0,Drama,7.003571428571428,14
1997.0,Romance,6.563529411764707,17
1997.0,Shounen,6.7508333333333335,24
1997.0,School,6.224285714285713,7
1998.0,Comedy,6.7516981132075475,53
1998.0,Action,6.741842105263157,38
1998.0,Adventure,6.834418604651162,43
1998.0,Fantasy,6.352380952380953,21
1998.0,Sci-Fi,6.702682926829269,41
1998.0,Drama,7.093076923076922,26
1998.0,Romance,6.745263157894737,19
1998.0,Shounen,7.004347826086957,23
1998.0,Slice of Life,6.572222222222222,9
1998.0,School,6.698181818181817,11
1999.0,Comedy,6.721967213114754,61
1999.0,Action,6.837837837837839,37
1999.0,Adventure,6.82622641509434,53
1999.0,Fantasy,6.942083333333334,24
1999.0,Sci-Fi,6.827000000000001,40
1999.0,Drama,7.0939999999999985,25
1999.0,Romance,6.844583333333333,24
1999.0,Shounen,7.1,25
1999.0,Slice of Life,6.738888888888889,9
1999.0,School,6.281666666666666,12
2000.0,Comedy,6.783404255319149,47
2000.0,Action,6.836363636363637,22
2000.0,Adventure,6.982222222222223,27
2000.0,Fantasy,6.678888888888889,18
